"","title_data"
"1","Profiling Downhole Casing Integrity Using Artificial Intelligence"
"2","An Adaptive Control For Multiple Unmanned Underwater Crawling Vehicles"
"3","Big Data Yields Completion Optimization: Using Drilling Data to Optimize Completion Efficiency in a Low Permeability Formation"
"4","Effective Petrophysical Fracture Characterization Using the Flow Unit Concept-San Juan Reservoir, Orocual Field, Venezuela"
"5","Integration of Artificial Intelligence and Production Data Analysis for Shale Heterogeneity Characterization in SAGD Reservoirs"
"6","Practical Implementation of Knowledge-Based Approaches for SAGD Production Analysis"
"7","Estimation of Fluid Composition From Downhole Optical Spectrometry"
"8","Numerical And Physical Modelling of Wave Overtopping Over a Porous Breakwater"
"9","Reservoir Engineer and Artificial Intelligence Techniques for Data Analysis"
"10","Exploring The Effects of Low Amplitude Fatigue in Crack Growth Rates in High Temperature Aqueous Solution/Metal Systems"
"11","An Experimental Study On the Prediction of the Ship Motions Using Time-series Analysis"
"12","Pressure Drop Due to Multiphase Flow Using Four Artificial Intelligence Methods"
"13","Predicting Pyrite and Total Organic Carbon from Well Logs for Enhancing Shale Reservoir Interpretation"
"14","An Implementation of On-line Well Virtual Metering of Oil Production"
"15","Improvement of Geologic Exploration Efficiency in Mature Oil and Gas Provinces"
"16","A Hybrid Artificial Intelligence Approach in Well Test Interpretation"
"17","New Generation of Petroleum Workflow Automation: Philosophy and Practice"
"18","Getting Back to Basics: Using Routine Drilling Mud Logging Data for Reservoir Characterization"
"19","Prediction of Rock Mechanical Parameters for Hydrocarbon Reservoirs Using Different Artificial Intelligence Techniques"
"20","Optimization of the Performance of Moored Floating Breakwaters"
"21","Determination of True Formation Resistivity from LWD Conventional Resistivity Measurements in a Horizontal Well"
"22","Reconstructing Petrophysical Borehole Images: Their Potential for Evaluating Permeability Distribution in Heterogeneous Formations"
"23","A Hybrid Artificial Intelligence Method to Predict Gas Solubility and Bubble Point Pressure"
"24","Integrated Petrophysics and Geosteering Reservoir Characterization in the Initial Development Phase of a Carbonate Reservoir - Campos Basin, Offshore Brazil"
"25","Application of Artificial Intelligent Techniques to Determine Sonic Time from Well Logs"
"26","Implementation of Coupled 3D Geomechanics and Discrete Fracture Network (DFN) Models in Field Development Optimisation: A Case Study from Carbonate Reservoir, Abu Dhabi"
"27","An Intelligent Portfolio-Management Approach to Gas Storage Field Deliverability Maintenance and Enhancement: Part One--Database Development and Model Building"
"28","Petrophysical Rock Typing in Organic-Rich Source Rocks Using Well Logs"
"29","Three-Phase Flow-Rate Measurement by Pressure Transducers"
"30","Estimating Saturation Changes from 4D Seismic: A Case Study from Malay Basin"
"31","Single Gas Flow Prediction through Chokes using Artificial Intelligence Techniques"
"32","Probabilistic Assessment of Tunnel Construction Processes Using Statistical Learning to Include Past Experience"
"33","Virtual Magnetic Imaging Logs: Generation of Synthetic MRI Logs from Conventional Well Logs"
"34","Development of New Correlation of Unconfined Compressive Strength for Carbonate Reservoir Using Artificial Intelligence Techniques"
"35","Infinite Conductivity Horizontal Borehole Assumption: Applicability & Quantification of Error"
"36","Proxy-Based Optimization of Hydraulic Fracturing Design in Horizontal Wells Through CO2 Flooding in Shale Oil Reservoirs"
"37","Integrated Production Surveillance and Reservoir Management (IPSRM) - How Petroleum Management Unit (PMU) combines Data Management and Petroleum Engineering Desktop solution to achieve Production Oper…"
"38","Interwell Property Mapping Using Crosswell Seismic Attributes"
"39","Risk Reduction with a Fuzzy-Expert Exploration Tool"
"40","Production Forecasting in Unconventional Resources using Data Mining and Time Series Analysis"
"41","Integration of 3D seismic attribute and well logs for electrofacies mapping and prediction of reliable petrophysical properties"
"42","Enhance Digital Oil Fields by Plugging the Technological Capability Gap"
"43","Evaluation of Various Methods of Pseudo Vclay Lithoseismic Attribute Construction"
"44","Shale Gas Reservoir Development Strategies using Complex Specified Bottom-Hole Pressure Well Architectures"
"45","Feature Selection-Based ANN for Improved Characterization of Carbonate Reservoir"
"46","Reservoir Modeling of Complex Thin-Bedded Deep Water Deposits Integrating Well Data, Seismic Inversion and Depositional Model from Offshore Sabah, Malaysia"
"47","Fully Rotating PDC Cutter Gaining Momentum: Conquering Frictional Heat in Hard/Abrasive Formations Improves Drilling Efficiency"
"48","Integrating Field Performance and History Matching Uncertainties Using Fuzzy Logic To Minimize Well-Placement Risks"
"49","Performance Study on Optimized Shape of Underwater Revolution Body"
"50","Navigation-Piloting Sensor Fault Diagnosis In Autonomous Underwater Vehicles"
"51","Image Petrophysics, A New Approach To Reservoir Characterization"
"52","Understanding Depositional and Diagenetic Processes Improve Petrophysical Rock Typing Workflows in Tight Gas Reservoirs"
"53","Distillation of Seismic Attributes to Geologic Significance"
"54","Predicting Reservoir Characteristics From Drilling and Hydrocarbon-Gas Data Using Advanced Computational Mathematics"
"55","The Data Reservoir: How Big Data Technologies Advance Data Management and Analytics in E&P"
"56","Implementation of a Non-intrusive And Real-time Weld Quality Monitoring System Using Spectroscopy"
"57","Efficient Use of Data Analytics in Optimization of Hydraulic Fracturing in Unconventional Reservoirs"
"58","Use of Fuzzy-Logic Permeability Models To Facilitate 3D Geocellular Modeling and Reservoir Simulation: Impact on Business"
"59","Estimation of Rock Mechanical Parameters Using Artificial Intelligence Tools"
"60","Optimizing the Performance of ANFIS using the Genetic Algorithm to Estimate the Deformation Modulus of Rock Mass"
"61","Corrosion Control Under a Multi-Agent Approach"
"62","Sedimentary Facies Computation and Stratigraphic Analyses Using Well Logs, Borehole Images and Cores in Triassic Fluvial Sandstones of the Algerian Sahara"
"63","Indirect Estimation of Fluid Transport and Rock Mechanical Properties from Elemental Compositions: Implications for ""Sweet Spot"" Identification in the Montney Formation (Canada)"
"64","Improvements to Computer Based Fault Extractions"
"65","Modelling Pipeline and Choke Optimization for Improved Gas Field Production using an Integrated Asset Model: A Case Study"
"66","High order AVO nonlinear inversion based on estimated inverse operator"
"67","Multi-Scale Characterization of Pore Structure in Carbonate Formations: Application to the SACROC Unit"
"68","Structuring an Integrative Approach for Field Development Planning Using Artificial Intelligence and its Application to an Offshore Oilfield"
"69","Effect of Mud Clasts on Stochastic Permeability Modeling for Steam Assisted Gravity Drainage (SAGD) Production Forecasting in the Athabasca Oil Sands, Canada"
"70","DeepLook: Toward the Common Goal of Reservoir Characterization Through Collaboration"
"71","Multilateral Wells Evaluation Utilizing Artificial Intelligence"
"72","Multilateral Wells Evaluation Utilizing Artificial Intelligence"
"73","TOC Content Distribution Features in Utica-Point Pleasant Formations, Appalachian Basin"
"74","Comparative Analysis of Feature Selection-Based Machine Learning Techniques in Reservoir Characterization"
"75","Successful Integration and Interpretation of Different Sources of Data and Utilization of Seismic Attributes to Reduce the Level of Uncertainty in Infill Planning"
"76","A Hybrid, Neuro-Genetic Approach to Hydraulic Fracture Treatment Design and Optimization"
"77","Multi-Lateral Well Design Advisory System; an Inverse-Looking Solution"
